"code";"day";"loc";"week";"vehicle";"length_sum";"length_mean";"syll_1";"syll_2";"syll_3";"syll_sum";"temp";"wind";"humidity";"pressure";"cloudiness";"dB";"distance_highway";"distance_road";"singing_sunrise";"RPDI_do";"RPDI_wd";"dist_road_resc";"RPDI2";"RPDI2sc"
"1D8H1";"Sunday";"HW";1;127;71.861;1.71097619;7;30;5;42;9.8;0.5;91;1004.4;10;">75";0;0;-2;23430;32913;-0.751362065940161;23430;-0.374910071682059
"1D8H1";"Monday";"HW";1;696;0;0;0;0;0;0;6.9;0;86;1018.6;10;">75";0;0;57;23430;32913;-0.751362065940161;32913;0.565670091868825
"1D8H2";"Sunday";"HW";1;276;0;0;0;0;0;0;9.8;0.5;91;1004.4;10;">75";0;0;-19;23430;32913;-0.751362065940161;23430;-0.374910071682059
"1D8H2";"Monday";"HW";1;408;0;0;0;0;0;0;6.9;0;86;1018.6;10;">75";0;0;NA;23430;32913;-0.751362065940161;32913;0.565670091868825
"1D8H3";"Sunday";"HW";1;0;0;0;0;0;0;0;9.8;0.5;91;1004.4;10;">75";0;0;-26;23430;32913;-0.751362065940161;23430;-0.374910071682059
"1D8H3";"Monday";"HW";1;0;0;0;0;0;0;0;6.9;0;86;1018.6;10;">75";0;0;-27;23430;32913;-0.751362065940161;32913;0.565670091868825
"1D8H4";"Sunday";"HW";1;86;68.428;1.121770492;50;11;0;61;9.8;0.5;91;1004.4;10;">75";0;0;-30;23430;32913;-0.751362065940161;23430;-0.374910071682059
"1D8H4";"Monday";"HW";1;0;60.136;1.252833333;32;14;2;48;6.9;0;86;1018.6;10;">75";0;0;-6;23430;32913;-0.751362065940161;32913;0.565670091868825
"1D8H5";"Sunday";"HW";1;163;5.585;1.39625;3;1;0;4;9.8;0.5;91;1004.4;10;">75";0;0;-19;23430;32913;-0.751362065940161;23430;-0.374910071682059
"1D8H5";"Monday";"HW";1;170;0;0;0;0;0;0;6.9;0;86;1018.6;10;">75";0;0;10;23430;32913;-0.751362065940161;32913;0.565670091868825
"1D8T1";"Sunday";"AL";1;0;22.938;1.638428571;0;14;0;14;9.8;0.5;91;1004.4;10;"";3913;387;-30;23430;32913;0.638329959646449;23430;-0.374910071682059
"1D8T1";"Monday";"AL";1;0;193.792;1.93792;31;55;14;100;6.9;0;86;1018.6;10;"";3913;387;-39;23430;32913;0.638329959646449;32913;0.565670091868825
"1D8T2";"Sunday";"AL";1;0;62.955;2.0985;4;18;8;30;9.8;0.5;91;1004.4;10;"";3885;98;-30;23430;32913;-0.399450390210218;23430;-0.374910071682059
"1D8T2";"Monday";"AL";1;0;104.115;1.893;6;38;11;55;6.9;0;86;1018.6;10;"";3885;98;-34;23430;32913;-0.399450390210218;32913;0.565670091868825
"1D8T3";"Sunday";"AL";1;0;0;0;0;0;0;0;9.8;0.5;91;1004.4;10;"";4236;562;-24;23430;32913;1.26674366630706;23430;-0.374910071682059
"1D8T3";"Monday";"AL";1;0;17.518;1.251285714;13;1;0;14;6.9;0;86;1018.6;10;"";4236;562;-18;23430;32913;1.26674366630706;32913;0.565670091868825
"1D8T4";"Sunday";"AL";1;0;46.112;1.317485714;21;14;0;35;9.8;0.5;91;1004.4;10;"";4204;700;-12;23430;32913;1.76229276070229;23430;-0.374910071682059
"1D8T5";"Sunday";"AL";1;0;72.928;1.302285714;38;18;0;56;9.8;0.5;91;1004.4;10;"";3521;765;-4;23430;32913;1.99570356603337;23430;-0.374910071682059
"1D8T5";"Monday";"AL";1;0;84.6;1.175;54;17;1;72;6.9;0;86;1018.6;10;"";3521;765;-3;23430;32913;1.99570356603337;32913;0.565670091868825
"2D7H1";"Sunday";"HW";2;217;0;0;0;0;0;0;2.7;16;74;1009;2;"70-75";0;0;-30;12591;17737;-0.751362065940161;12591;-1.44998635479163
"2D7H1";"Monday";"HW";2;340;0;0;0;0;0;0;1.3;6;86;1008.4;5;"70-75";0;0;-27;12591;17737;-0.751362065940161;17737;-0.939575564784999
"2D7H2";"Sunday";"HW";2;183;128.471;1.6058875;24;53;2;79;2.7;16;74;1009;2;"70-75";0;0;-31;12591;17737;-0.751362065940161;12591;-1.44998635479163
"2D7H2";"Monday";"HW";2;238;96.675;1.638559322;14;42;3;59;1.3;6;86;1008.4;5;"70-75";0;0;-19;12591;17737;-0.751362065940161;17737;-0.939575564784999
"2D7H3";"Sunday";"HW";2;145;182.736;1.707813084;32;75;0;107;2.7;16;74;1009;2;"70-75";0;0;-25;12591;17737;-0.751362065940161;12591;-1.44998635479163
"2D7H3";"Monday";"HW";2;148;232.435;1.734589552;34;100;0;134;1.3;6;86;1008.4;5;"70-75";0;0;-25;12591;17737;-0.751362065940161;17737;-0.939575564784999
"2D7H4";"Sunday";"HW";2;172;487.71;2.032125;31;156;53;240;2.7;16;74;1009;2;"70-75";0;0;-10;12591;17737;-0.751362065940161;12591;-1.44998635479163
"2D7H4";"Monday";"HW";2;212;321.445;1.766181319;32;150;0;182;1.3;6;86;1008.4;5;"70-75";0;0;-9;12591;17737;-0.751362065940161;17737;-0.939575564784999
"2D7H5";"Sunday";"HW";2;213;109.566;1.635313433;13;54;0;67;2.7;16;74;1009;2;"70-75";0;0;-13;12591;17737;-0.751362065940161;12591;-1.44998635479163
"2D7H5";"Monday";"HW";2;389;18.501;1.423153846;8;5;0;13;1.3;6;86;1008.4;5;"70-75";0;0;-41;12591;17737;-0.751362065940161;17737;-0.939575564784999
"2D7T1";"Sunday";"AL";2;0;173.173;1.618439252;60;47;0;107;2.7;16;74;1009;2;"";5751;101;-29;12591;17737;-0.388677583810322;12591;-1.44998635479163
"2D7T1";"Monday";"AL";2;0;9.86;1.2325;8;0;0;8;1.3;6;86;1008.4;5;"";5751;101;-21;12591;17737;-0.388677583810322;17737;-0.939575564784999
"2D7T2";"Sunday";"AL";2;0;0;0;0;0;0;0;2.7;16;74;1009;2;"";5902;194;-20;12591;17737;-0.05472058541354;12591;-1.44998635479163
"2D7T2";"Monday";"AL";2;0;0;0;0;0;0;0;1.3;6;86;1008.4;5;"";5902;194;-21;12591;17737;-0.05472058541354;17737;-0.939575564784999
"2D7T3";"Sunday";"AL";2;0;0;0;0;0;0;0;2.7;16;74;1009;2;"";5775;162;-9;12591;17737;-0.169630520345766;12591;-1.44998635479163
"2D7T3";"Monday";"AL";2;0;0;0;0;0;0;0;1.3;6;86;1008.4;5;"";5775;162;NA;12591;17737;-0.169630520345766;17737;-0.939575564784999
"2D7T4";"Sunday";"AL";2;0;464.349;1.739134831;10;257;0;267;2.7;16;74;1009;2;"";5403;208;-18;12591;17737;-0.00444748888069108;12591;-1.44998635479163
"2D7T5";"Sunday";"AL";2;0;430.116;1.911626667;61;164;0;225;2.7;16;74;1009;2;"";5086;559;-9;12591;17737;1.25597085990716;12591;-1.44998635479163
"2D7T5";"Monday";"AL";2;0;362.903;1.870634021;78;116;0;194;1.3;6;86;1008.4;5;"";5086;559;-10;12591;17737;1.25597085990716;17737;-0.939575564784999
"3D8H1";"Sunday";"HW";3;155;2.282;0.760666667;3;0;0;3;4.7;2;86;1017.8;6;">75";0;0;-14;37058;52381;-0.751362065940161;37058;0.976795767068489
"3D8H1";"Monday";"HW";3;561;0;0;0;0;0;0;5.9;0;87;1022.7;1;">75";0;0;-34;37058;52381;-0.751362065940161;52381;2.49662175526739
"3D8H2";"Sunday";"HW";3;273;14.824;1.347636364;9;2;0;11;4.7;2;86;1017.8;6;"70-75";0;0;NA;37058;52381;-0.751362065940161;37058;0.976795767068489
"3D8H2";"Monday";"HW";3;587;10.097;1.682833333;3;3;0;6;5.9;0;87;1022.7;1;"70-75";0;0;-27;37058;52381;-0.751362065940161;52381;2.49662175526739
"3D8H3";"Sunday";"HW";3;178;11.094;0.853384615;13;0;0;13;4.7;2;86;1017.8;6;">75";0;0;-22;37058;52381;-0.751362065940161;37058;0.976795767068489
"3D8H3";"Monday";"HW";3;611;37.75;1.217741935;16;15;0;31;5.9;0;87;1022.7;1;">75";0;0;-19;37058;52381;-0.751362065940161;52381;2.49662175526739
"3D8H4";"Sunday";"HW";3;346;0;0;0;0;0;0;4.7;2;86;1017.8;6;">75";0;0;-29;37058;52381;-0.751362065940161;37058;0.976795767068489
"3D8H4";"Monday";"HW";3;663;7.814;1.116285714;7;0;0;7;5.9;0;87;1022.7;1;">75";0;0;-13;37058;52381;-0.751362065940161;52381;2.49662175526739
"3D8H5";"Sunday";"HW";3;134;231.97;1.718296296;35;100;0;135;4.7;2;86;1017.8;6;">75";0;0;-5;37058;52381;-0.751362065940161;37058;0.976795767068489
"3D8H5";"Monday";"HW";3;0;1.221;1.221;1;0;0;1;5.9;0;87;1022.7;1;">75";0;0;-16;37058;52381;-0.751362065940161;52381;2.49662175526739
"3D8T1";"Sunday";"AL";3;0;0;0;0;0;0;0;4.7;2;86;1017.8;6;"";3875;268;-16;37058;52381;0.211008639117233;37058;0.976795767068489
"3D8T1";"Monday";"AL";3;0;53.797;1.921321429;21;7;0;28;5.9;0;87;1022.7;1;"";3875;268;-25;37058;52381;0.211008639117233;52381;2.49662175526739
"3D8T2";"Sunday";"AL";3;0;0;0;0;0;0;0;4.7;2;86;1017.8;6;"";3340;506;-16;37058;52381;1.06565128017567;37058;0.976795767068489
"3D8T2";"Monday";"AL";3;0;0;0;0;0;0;0;5.9;0;87;1022.7;1;"";3340;506;-35;37058;52381;1.06565128017567;52381;2.49662175526739
"3D8T3";"Sunday";"AL";3;0;127.376;1.369634409;61;32;0;93;4.7;2;86;1017.8;6;"";2816;108;-14;37058;52381;-0.363541035543898;37058;0.976795767068489
"3D8T3";"Monday";"AL";3;0;64.038;1.455409091;27;16;1;44;5.9;0;87;1022.7;1;"";2816;108;-27;37058;52381;-0.363541035543898;52381;2.49662175526739
"3D8T4";"Sunday";"AL";3;0;36.862;1.675545455;9;12;1;22;4.7;2;86;1017.8;1;"";2981;319;-20;37058;52381;0.394146347915468;37058;0.976795767068489
"3D8T5";"Sunday";"AL";3;0;294.415;1.644776536;109;70;0;179;4.7;2;86;1017.8;6;"";2694;598;-21;37058;52381;1.39601734310582;37058;0.976795767068489
"3D8T5";"Monday";"AL";3;0;186.874;1.519300813;93;30;0;123;5.9;0;87;1022.7;1;"";2694;598;-31;37058;52381;1.39601734310582;52381;2.49662175526739
"4D7H1";"Sunday";"HW";4;0;157.029;1.554742574;55;46;0;101;7.4;19;61;1012.2;3;">75";0;0;10;26844;36133;-0.751362065940161;26844;-0.0362893104922755
"4D7H1";"Monday";"HW";4;0;24.039;1.414058824;9;8;0;17;4.8;9;85;1015.9;9;">75";0;0;12;23399;31360;-0.751362065940161;31360;0.411634344321158
"4D7H2";"Sunday";"HW";4;0;199.108;1.632032787;36;86;0;122;7.4;19;61;1012.2;3;">75";0;0;23;23399;31360;-0.751362065940161;23399;-0.37798483547728
"4D7H2";"Monday";"HW";4;0;303.313;1.588026178;69;122;0;191;4.8;9;85;1015.9;9;">75";0;0;19;23399;31360;-0.751362065940161;31360;0.411634344321158
"4D7H3";"Sunday";"HW";4;156;0;0;0;0;0;0;7.4;19;61;1012.2;3;"70-75";0;0;NA;23399;31360;-0.751362065940161;23399;-0.37798483547728
"4D7H3";"Monday";"HW";4;263;0;0;0;0;0;0;4.8;9;85;1015.9;9;"70-75";0;0;NA;23399;31360;-0.751362065940161;31360;0.411634344321158
"4D7H4";"Sunday";"HW";4;186;241.872;1.502310559;47;114;0;161;7.4;19;61;1012.2;3;">75";0;0;17;23399;31360;-0.751362065940161;23399;-0.37798483547728
"4D7H4";"Monday";"HW";4;293;187.085;1.533483607;32;82;8;122;4.8;9;85;1015.9;9;">75";0;0;31;23399;31360;-0.751362065940161;31360;0.411634344321158
"4D7H5";"Sunday";"HW";4;294;0;0;0;0;0;0;7.4;19;61;1012.2;3;"70-75";0;0;NA;23399;31360;-0.751362065940161;23399;-0.37798483547728
"4D7H5";"Monday";"HW";4;594;0;0;0;0;0;0;4.8;9;85;1015.9;9;"70-75";0;0;NA;23399;31360;-0.751362065940161;31360;0.411634344321158
"4D7T1";"Sunday";"AL";4;0;110.248;1.510246575;1;72;0;73;7.4;19;61;1012.2;3;"";1752;451;45;23399;31360;0.868149829510901;23399;-0.37798483547728
"4D7T1";"Monday";"AL";4;0;275.431;1.610707602;1;170;0;171;4.8;9;85;1015.9;9;"";1752;451;34;23399;31360;0.868149829510901;31360;0.411634344321158
"4D7T2";"Sunday";"AL";4;0;692.936;1.962991501;66;202;85;353;7.4;19;61;1012.2;3;"";1817;585;51;23399;31360;1.3493351820396;23399;-0.37798483547728
"4D7T2";"Monday";"AL";4;0;556.568;2.108212121;46;143;75;264;4.8;9;85;1015.9;9;"";1817;585;47;23399;31360;1.3493351820396;31360;0.411634344321158
"4D7T3";"Sunday";"AL";4;0;374.326;1.566217573;120;119;0;239;7.4;19;61;1012.2;3;"";1908;647;50;23399;31360;1.57197318097079;23399;-0.37798483547728
"4D7T4";"Sunday";"AL";4;0;679.01;2.148765823;25;223;68;316;7.4;19;61;1012.2;3;"";2094;487;NA;23399;31360;0.997423506309656;23399;-0.37798483547728
"4D7T5";"Sunday";"AL";4;0;23.697;1.247210526;5;14;0;19;7.4;19;61;1012.2;3;"";1523;605;NA;23399;31360;1.42115389137224;23399;-0.37798483547728
"4D7T5";"Monday";"AL";4;0;233.927;1.471238994;30;129;0;159;4.8;9;85;1015.9;9;"";1523;605;NA;23399;31360;1.42115389137224;31360;0.411634344321158
"5D6H1";"Sunday";"HW";5;190;24.217;1.614466667;5;7;3;15;15;3;68;1012.7;4;">75";0;0;-88;21887;28204;-0.751362065940161;21887;-0.527953959940945
"5D6H1";"Monday";"HW";5;439;59.843;1.662305556;13;23;0;36;14.6;0;79;1005.2;6;">75";0;0;-88;21887;28204;-0.751362065940161;28204;0.0986035527819207
"5D6H2";"Sunday";"HW";5;204;0;0;0;0;0;0;15;3;68;1012.7;4;">75";0;0;NA;21887;28204;-0.751362065940161;21887;-0.527953959940945
"5D6H2";"Monday";"HW";5;455;0;0;0;0;0;0;14.6;0;79;1005.2;6;">75";0;0;NA;21887;28204;-0.751362065940161;28204;0.0986035527819207
"5D6H3";"Sunday";"HW";5;178;230.584;1.844672;17;98;10;125;15;3;68;1012.7;4;">75";0;0;-87;21887;28204;-0.751362065940161;21887;-0.527953959940945
"5D6H3";"Monday";"HW";5;439;65.681;1.728447368;4;32;2;38;14.6;0;79;1005.2;6;">75";0;0;-87;21887;28204;-0.751362065940161;28204;0.0986035527819207
"5D6H4";"Sunday";"HW";5;319;8.686;1.7372;0;5;0;5;15;3;68;1012.7;4;">75";0;0;4;21887;28204;-0.751362065940161;21887;-0.527953959940945
"5D6H4";"Monday";"HW";5;597;0;0;0;0;0;0;14.6;0;79;1005.2;6;">75";0;0;4;21887;28204;-0.751362065940161;28204;0.0986035527819207
"5D6H5";"Sunday";"HW";5;210;0;0;0;0;0;0;15;3;68;1012.7;4;">75";0;0;4;21887;28204;-0.751362065940161;21887;-0.527953959940945
"5D6H5";"Monday";"HW";5;548;7.173;1.79325;0;4;0;4;14.6;0;79;1005.2;6;">75";0;0;NA;21887;28204;-0.751362065940161;28204;0.0986035527819207
"5D6T1";"Sunday";"AL";5;0;2.177;0.54425;4;0;0;4;15;3;68;1012.7;4;"55-60";3277;102;-74;21887;28204;-0.38508664834369;21887;-0.527953959940945
"5D6T1";"Monday";"AL";5;0;43.531;1.36034375;16;16;0;32;14.6;0;79;1005.2;6;"55-60";3277;102;-73;21887;28204;-0.38508664834369;28204;0.0986035527819207
"5D6T2";"Sunday";"AL";5;0;200.2;1.771681416;36;46;31;113;15;3;68;1012.7;4;"55-60";3372;423;-86;21887;28204;0.767603636445203;21887;-0.527953959940945
"5D6T2";"Monday";"AL";5;0;76.312;1.496313725;32;17;2;51;14.6;0;79;1005.2;6;"55-60";3372;423;-86;21887;28204;0.767603636445203;28204;0.0986035527819207
"5D6T3";"Sunday";"AL";5;0;687;1.817460317;125;216;37;378;15;3;68;1012.7;4;"55-60";3574;782;-91;21887;28204;2.05674946896612;21887;-0.527953959940945
"5D6T3";"Monday";"AL";5;0;364.893;1.681534562;107;107;3;217;14.6;0;79;1005.2;6;"55-60";3574;782;-92;21887;28204;2.05674946896612;28204;0.0986035527819207
"5D6T4";"Sunday";"AL";5;0;252.68;1.411620112;115;64;0;179;15;3;68;1012.7;4;"";4101;923;-70;21887;28204;2.56307136976124;21887;-0.527953959940945
"5D6T4";"Monday";"AL";5;0;192.629;1.406051095;89;48;0;137;14.6;0;79;1005.2;6;"";4101;923;-75;21887;28204;2.56307136976124;28204;0.0986035527819207
"5D6T5";"Sunday";"AL";5;0;349.123;1.728331683;23;159;20;202;15;3;68;1012.7;4;"";4284;642;-70;21887;28204;1.55401850363763;21887;-0.527953959940945
"6D6H1";"Sunday";"HW";6;87;27.381;1.014111111;27;0;0;27;14.1;1;97;1006.2;10;">75";0;0;54;20544;26062;-0.751362065940161;20544;-0.661160662424213
"6D6H1";"Monday";"HW";6;312;0;0;0;0;0;0;16.4;11;86;1001.1;8;">75";0;0;NA;20544;26062;-0.751362065940161;26062;-0.113852706874938
"6D6H2";"Sunday";"HW";6;73;0;0;0;0;0;0;14.1;1;97;1006.2;10;">75";0;0;NA;20544;26062;-0.751362065940161;20544;-0.661160662424213
"6D6H2";"Monday";"HW";6;241;0;0;0;0;0;0;16.4;11;86;1001.1;8;">75";0;0;NA;20544;26062;-0.751362065940161;26062;-0.113852706874938
"6D6H3";"Sunday";"HW";6;106;48.979;1.95916;1;19;5;25;14.1;1;97;1006.2;10;">75";0;0;NA;20544;26062;-0.751362065940161;20544;-0.661160662424213
"6D6H3";"Monday";"HW";6;245;0;0;0;0;0;0;16.4;11;86;1001.1;8;">75";0;0;NA;20544;26062;-0.751362065940161;26062;-0.113852706874938
"6D6H5";"Sunday";"HW";6;82;0;0;0;0;0;0;14.1;1;97;1006.2;10;">75";0;0;NA;20544;26062;-0.751362065940161;20544;-0.661160662424213
"6D6H5";"Monday";"HW";6;223;0;0;0;0;0;0;16.4;11;86;1001.1;8;">75";0;0;NA;20544;26062;-0.751362065940161;26062;-0.113852706874938
"6D6T1";"Sunday";"AL";6;0;103.078;1.212682353;64;21;0;85;14.1;1;97;1006.2;10;"<50";625;199;NA;20544;26062;-0.0367659080803797;20544;-0.661160662424213
"6D6T1";"Monday";"AL";6;0;56.993;1.117509804;45;6;0;51;16.4;11;86;1001.1;8;"<50";625;199;NA;20544;26062;-0.0367659080803797;26062;-0.113852706874938
"6D6T2";"Sunday";"AL";6;0;223.691;1.586460993;68;73;0;141;14.1;1;97;1006.2;10;"";996;570;23;20544;26062;1.29547115004012;20544;-0.661160662424213
"6D6T2";"Monday";"AL";6;0;45.364;1.512133333;18;11;1;30;16.4;11;86;1001.1;8;"";996;570;18;20544;26062;1.29547115004012;26062;-0.113852706874938
"6D6T3";"Sunday";"AL";6;0;399.561;2.091942408;30;73;88;191;14.1;1;97;1006.2;10;"";1188;755;32;20544;26062;1.95979421136705;20544;-0.661160662424213
"6D6T3";"Monday";"AL";6;0;447.537;2.215529703;21;106;75;202;16.4;11;86;1001.1;8;"";1188;755;28;20544;26062;1.95979421136705;26062;-0.113852706874938
"6D6T4";"Sunday";"AL";6;0;117.739;2.452895833;12;11;25;48;14.1;1;97;1006.2;10;"";1507;398;50;20544;26062;0.677830249779402;20544;-0.661160662424213
